"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 17:14:32 CST 2025","Tue Mar 18 17:16:57 CST 2025","145119","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_04",""
"passed","Tue Mar 18 17:09:59 CST 2025","Tue Mar 18 17:12:29 CST 2025","150031","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_02",""
"passed","Tue Mar 18 16:59:37 CST 2025","Tue Mar 18 16:59:44 CST 2025","6580","TestCases.test_my_resources","test_resources","TestResources","","","test_download",""
"skipped","Thu Mar 06 15:25:50 CST 2025","Thu Mar 06 15:25:50 CST 2025","0","","","","","","test_snow",""
"passed","Thu Mar 13 16:58:51 CST 2025","Thu Mar 13 16:58:57 CST 2025","6637","","","","","","test_case_01",""
"passed","Tue Mar 18 17:07:32 CST 2025","Tue Mar 18 17:08:52 CST 2025","80432","TestCases.test_yingw_3s","test_01_textbook_explain","TestTextbookExplain","","","test_case_01",""
"passed","Tue Mar 18 17:00:43 CST 2025","Tue Mar 18 17:00:53 CST 2025","9881","TestCases.test_my_resources","test_resources","TestResources","","","test_batch_del",""
"passed","Tue Mar 18 16:44:56 CST 2025","Tue Mar 18 16:46:03 CST 2025","67399","TestCases.test_lis_7s","test_02_democlass","TestDemoClass","","","test_case_01",""
"broken","Tue Mar 18 17:30:07 CST 2025","Tue Mar 18 17:30:29 CST 2025","21824","TestCases.test_yingw_6s","test_03_taping","TestTaping","","","test_case_02",""
"failed","Tue Mar 18 17:06:33 CST 2025","Tue Mar 18 17:07:18 CST 2025","44701","TestCases.test_wul_8s","test_02_experiment","TestExperiment","","","test_case_01",""
"passed","Tue Mar 18 17:05:14 CST 2025","Tue Mar 18 17:06:18 CST 2025","63747","TestCases.test_wul_8s","test_01_animations","TestAnimations","","","test_case_01",""
"passed","Tue Mar 18 17:30:44 CST 2025","Tue Mar 18 17:31:26 CST 2025","41830","TestCases.test_yiny_7s","test_01_music","TestMusic","","","test_case_01",""
"failed","Tue Mar 18 16:55:00 CST 2025","Tue Mar 18 16:55:41 CST 2025","41096","TestCases.test_my_resources","test_resources","TestResources","","","test_import_resources[test_data4]",""
"passed","Tue Mar 18 16:49:23 CST 2025","Tue Mar 18 16:50:09 CST 2025","45966","TestCases.test_lis_7s","test_05_teacher_book","TestTeacherBook","","","test_teacher_book",""
"passed","Tue Mar 18 17:26:43 CST 2025","Tue Mar 18 17:27:51 CST 2025","67789","TestCases.test_yingw_3s","test_03_democlass","TestDemoClass","","","test_case_01",""
"passed","Tue Mar 18 17:00:21 CST 2025","Tue Mar 18 17:00:28 CST 2025","7323","TestCases.test_my_resources","test_resources","TestResources","","","test_del",""
"passed","Tue Mar 18 17:09:05 CST 2025","Tue Mar 18 17:09:46 CST 2025","40300","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_01",""
"failed","Tue Mar 18 16:55:56 CST 2025","Tue Mar 18 16:56:29 CST 2025","33018","TestCases.test_my_resources","test_resources","TestResources","","","test_import_resources[test_data5]",""
"failed","Tue Mar 18 16:56:43 CST 2025","Tue Mar 18 16:57:23 CST 2025","39756","TestCases.test_my_resources","test_resources","TestResources","","","test_import_resources[test_data6]",""
"passed","Tue Mar 18 16:47:50 CST 2025","Tue Mar 18 16:49:09 CST 2025","78684","TestCases.test_lis_7s","test_04_extend","TestExtend","","","test_case_01",""
"passed","Tue Mar 18 17:19:38 CST 2025","Tue Mar 18 17:22:18 CST 2025","160498","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_06",""
"passed","Tue Mar 18 17:29:16 CST 2025","Tue Mar 18 17:29:53 CST 2025","37044","TestCases.test_yingw_6s","test_03_taping","TestTaping","","","test_case_01",""
"passed","Tue Mar 18 17:03:52 CST 2025","Tue Mar 18 17:05:00 CST 2025","68289","TestCases.test_tiy_34q","test_03_football","TestFootball","","","test_football",""
"broken","Tue Mar 18 17:12:44 CST 2025","Tue Mar 18 17:14:17 CST 2025","93576","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_03",""
"failed","Tue Mar 18 16:53:13 CST 2025","Tue Mar 18 16:53:49 CST 2025","35899","TestCases.test_my_resources","test_resources","TestResources","","","test_import_resources[test_data2]",""
"passed","Tue Mar 18 16:50:29 CST 2025","Tue Mar 18 16:50:32 CST 2025","2576","TestCases.test_login","test_login","TestLogin","","","test_privacy_policy",""
"failed","Tue Mar 18 16:54:04 CST 2025","Tue Mar 18 16:54:45 CST 2025","40775","TestCases.test_my_resources","test_resources","TestResources","","","test_import_resources[test_data3]",""
"passed","Tue Mar 18 16:57:38 CST 2025","Tue Mar 18 16:57:55 CST 2025","17203","TestCases.test_my_resources","test_resources","TestResources","","","test_edit_resources",""
"broken","Tue Mar 18 16:58:52 CST 2025","Tue Mar 18 16:58:52 CST 2025","0","TestCases.test_my_resources","test_resources","TestResources","","","test_create_folder",""
"passed","Tue Mar 18 17:28:06 CST 2025","Tue Mar 18 17:28:25 CST 2025","19705","TestCases.test_yingw_6s","test_01_prepare_resource","TestPrepareResource","","","test_case_01",""
"failed","Tue Mar 18 16:43:23 CST 2025","Tue Mar 18 16:44:41 CST 2025","78165","TestCases.test_lis_7s","test_01_textbook_explain","TestTextbookExplain","","","test_case_01",""
"passed","Tue Mar 18 16:59:58 CST 2025","Tue Mar 18 17:00:07 CST 2025","8167","TestCases.test_my_resources","test_resources","TestResources","","","test_search",""
"passed","Tue Mar 18 16:50:17 CST 2025","Tue Mar 18 16:50:22 CST 2025","5075","TestCases.test_login","test_login","TestLogin","","","test_user_agreement",""
"passed","Tue Mar 18 17:02:27 CST 2025","Tue Mar 18 17:03:37 CST 2025","70066","TestCases.test_tiy_34q","test_02_snow","TestSnow","","","test_case_01",""
"failed","Tue Mar 18 16:51:29 CST 2025","Tue Mar 18 16:52:10 CST 2025","40802","TestCases.test_my_resources","test_resources","TestResources","","","test_import_resources[test_data0]",""
"failed","Tue Mar 18 16:52:25 CST 2025","Tue Mar 18 16:52:58 CST 2025","33407","TestCases.test_my_resources","test_resources","TestResources","","","test_import_resources[test_data1]",""
"failed","Tue Mar 18 17:22:33 CST 2025","Tue Mar 18 17:24:16 CST 2025","103043","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_07",""
"passed","Tue Mar 18 16:58:30 CST 2025","Tue Mar 18 16:58:50 CST 2025","20291","TestCases.test_my_resources","test_resources","TestResources","","","test_export_resources",""
"passed","Tue Mar 18 17:28:40 CST 2025","Tue Mar 18 17:29:01 CST 2025","21175","TestCases.test_yingw_6s","test_02_digital_classroom","TestDigitalClassroom","","","test_case_01",""
"passed","Tue Mar 18 16:46:18 CST 2025","Tue Mar 18 16:47:36 CST 2025","78280","TestCases.test_lis_7s","test_03_courseware","TestCourseware","","","test_case_01",""
"passed","Tue Mar 18 17:01:08 CST 2025","Tue Mar 18 17:02:13 CST 2025","65056","TestCases.test_tiy_34q","test_01_extend","TestExtend","","","test_case_01",""
"passed","Tue Mar 18 17:24:30 CST 2025","Tue Mar 18 17:26:29 CST 2025","118521","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_08",""
"passed","Tue Mar 18 16:58:10 CST 2025","Tue Mar 18 16:58:15 CST 2025","5305","TestCases.test_my_resources","test_resources","TestResources","","","test_rename",""
"passed","Tue Mar 18 16:50:39 CST 2025","Tue Mar 18 16:51:15 CST 2025","35519","TestCases.test_login","test_login","TestLogin","","","test_login",""
"broken","Tue Mar 18 17:17:12 CST 2025","Tue Mar 18 17:19:23 CST 2025","131391","TestCases.test_yingw_3s","test_02_teaching_resource","TestTeachingResource","","","test_case_05",""
